No	Rem
2025	SB1 AA 235, 114 /
2029	Double, sep=0".520, DK=3.78 mag, AA 375, 989 /
2085	Double, sep=0".642, DK=3.79 mag, AA 375, 989 /
2418	Double, sep=0".394, DK=3.16 mag, AA 375, 989 /
2692	Double, sep=0".405, DK=0.61 mag, AA 375, 989 /
3004	Art 144 /
3076	Art 346 /
3103	Art 388 /
3231	Double, sep=0".168, DK=0.09 mag, AA 375, 989 /
3241	WRS3, ApJ 445, 359 /
3368	Art 951 /
3532	Art 1271 / SB2, AA 235, 114 /
3563	Art 1358 /
3589	Art 1486 /
3596	Art 1512 /
3600	Art 1508 / SB, AA 235, 114 /
3606	Art 1503 /
3614	Art 1551 /
3655	Art 1780 / SB2, AA 235, 114 /
3660	Art 1828 /
3801	Art 23 /
3802	Art 27 /
3803	Art 70 /
3804	Art 105 /
3805	Art 133 /
3807	Art 147 /
3808	Art 159 /
3809	Art 167 /
3810	Art 232 /
3811	Art 312 /
3813	Art 365 /
3815	Art 448 /
3816	Art 511 /
3817	Art 609 /
3818	Art 624 /
3819	Art 690 /
3820	Art 734 /
3822	Art 748 /
3823	Art 749 /
3826	Art 1031 /
3827	Art 1033 /
3828	Art 1065 /
3829	Art 1072 /
3830	Art 1159 /
3831	Art 1189 /
3832	Art 1221 /
3833	Art 1259 /
3835	Art 1274 /
3837	Art 1401 /
3838	Art 1424 /
3839	Art 1431 /
3845	Art 1565 /
3845	Double, sep=0".330, DK=1.16 mag, AJ 123, 1570 /
3846	Art 1596 /
3847	Art 1663 /
3848	Art 1699 /
3849	Art 1700 /
3850	Art 1752 /
3853	Art 1839 /
3854	Art 1842 /
3855	Art 1879 /
3856	Art 1903 /
3857	Art 1920 /
3858	Art 1951 /
3859	Art I-186 /
3860	Art I-247 /
3861	Art I-310 /
3862	Art I-402 /
3863	Art I-563 / SB, AA 235, 114 /
3864	Art I-572 /
3865	Art II-434 /
3866	Art II-490 /
3867	Art II-582 /
3868	Art II-612 /
3869	Art II-626 /
3870	Art II-776 /
3871	Art III-19 /
3872	Art III-41 /
3873	Art III-52 /
3874	Art III-302 /
3875	Art III-398 /
3876	Art III-428 /
3877	Art III-440 /
3878	Art III-450 /
3879	Art III-484 /
3880	Art IV-4 /
3881	Art IV-24 /
3882	Art IV-93 /
3883	Art IV-125 /
3884	Art IV-148 /
3885	Art IV-219 /
3886	Art IV-283A /
3887	Art IV-283B /
3901	RPr 1 candidate brown dwarf, ApJ 497, L47 /
4151	WRS1, ApJ 445, 359 /
4267	WRS5, ApJ 445, 359 /
4628	WRS2, ApJ 445, 359 /
4629	WRS4, ApJ 445, 359 /
4630	WRS6, ApJ 445, 359 /
4631	WRS7, ApJ 445, 359 /
5271	SB2 AA 235, 114 /
5508	SB AA 235, 114 /
5563	SB AA 235, 114 /
5780	SB2 AA 235, 114 /
