No	Mag	X	Y
0386	11.54	106.41	-427.17
0387	11.88	109.83	-2.29
0388	13.12	110.52	-352.73
0389	13.64	113.85	100.32
0390	12.96	113.41	-379.13
0391	13.28	116.55	152.53
0392	10.74	115.49	-15.48
0393	14.06	115.77	-152.29
0394	12.91	114.90	-419.35
0395	13.58	118.08	92.53
0396	9.87	117.20	-160.08
0397	11.70	118.75	-221.89
0398	11.77	120.94	72.13
0399	10.95	119.87	-86.87
0400	11.50	124.28	-166.07
0401	12.97	123.38	-401.32
0402	13.28	124.69	-351.50
0403	11.71	126.74	-6.46
0404	12.64	128.35	-92.26
0405	12.21	129.00	-378.50
0406	12.90	129.92	-161.86
0407	8.50	128.40	-116.86
0408	11.94	129.78	-102.45
0409	13.07	129.28	113.55
0410	12.46	130.57	159.16
0411	9.32	131.66	-304.07
0412	12.08	130.59	150.76
0413	12.52	133.15	-337.08
0414	13.05	133.58	79.36
0415	13.09	135.80	-259.66
0416	9.59	139.69	-117.43
0417	12.36	140.83	-8.82
0418	10.47	140.59	86.58
0419	13.04	141.45	-257.84
0420	12.80	142.49	-112.02
0421	10.16	144.29	-259.04
0422	13.76	142.59	-149.22
0423	11.36	145.83	-307.64
0424	12.08	147.04	-230.22
0425	11.41	146.98	-206.82
0426	13.19	148.92	-407.87
0427	11.94	148.49	-244.02
0428	6.90	149.36	-40.60
0429	8.54	153.31	62.01
0430	12.05	151.90	65.01
0431	13.09	155.60	-260.21
0432	11.04	158.00	-107.18
0433	11.03	158.06	-126.98
0434	11.38	157.03	-262.60
0435	11.98	157.05	-271.00
0436	12.93	162.95	134.04
0437	14.06	161.91	5.63
0438	12.66	162.00	-24.97
0439	9.45	163.04	-386.82
0440	12.32	166.75	-200.77
0441	13.98	166.35	-67.56
0442	14.09	168.09	-176.16
0443	10.63	172.21	-138.94
0444	13.13	174.03	-270.96
0445	7.96	173.83	-206.75
0446	13.22	178.64	57.29
0447	12.44	181.44	61.50
0448	12.15	181.05	-255.33
0449	7.94	181.45	-378.97
0450	12.43	185.65	66.31
0451	13.82	185.79	23.71
0452	12.41	186.17	-91.50
0453	13.72	186.20	-99.30
0454	9.88	186.22	-107.10
0455	13.17	187.71	-132.29
0456	12.42	189.57	152.73
0457	11.26	189.00	-94.49
0458	9.72	191.44	18.33
0459	9.23	192.66	70.53
0460	12.10	195.56	47.74
0461	11.43	195.35	107.75
0462	10.99	199.04	-143.06
0463	12.06	202.40	102.97
0464	13.62	208.30	-356.07
0465	14.20	208.71	-82.42
0466	10.99	210.59	-212.03
0467	13.13	209.89	-23.01
0468	13.16	211.85	-170.01
0469	12.61	215.42	-363.25
0470	12.50	217.97	-291.81
0471	12.14	222.28	-306.80
0472	9.77	221.69	-159.18
0473	13.63	224.45	-139.96
0474	12.13	225.81	-130.36
0475	12.98	225.71	-103.95
0476	11.62	225.16	-318.80
0477	12.22	228.09	5.26
0478	9.74	227.29	-145.95
0479	13.17	227.66	-238.97
0480	11.58	229.49	-337.99
0481	13.57	228.62	-123.75
0482	12.32	231.78	133.09
0483	13.84	231.48	-134.53
0484	11.98	231.69	-186.74
0485	12.22	234.71	-232.34
0486	13.52	239.59	-48.09
0487	13.72	244.08	-109.28
0488	11.43	248.67	127.16
