No	Mag	X	Y
1131	15.90	-747.31	85.47
1134	9.36	-744.05	-306.06
1135	10.01	-732.39	562.18
1137	14.96	-736.31	-402.83
1139	14.97	-711.97	596.81
1141	15.49	-712.05	-1208.29
1146	11.99	-703.24	-899.55
1150	14.85	-681.43	336.40
1151	13.21	-683.76	87.25
1152	12.67	-689.01	-474.13
1153	14.65	-686.05	-781.82
1159	17.64	-658.38	339.78
1162	12.81	-653.38	-556.72
1164	16.27	-658.77	-1330.40
1165	13.97	-646.36	71.89
1167	11.41	-637.57	-78.86
1168	16.27	-636.59	-467.35
1170	14.55	-630.05	-552.70
1171	9.81	-632.36	-1167.30
1173	12.47	-620.11	-409.83
1185	15.83	-579.76	277.83
1189	16.42	-579.43	-969.03
1190	10.84	-570.87	-58.40
1191	12.26	-562.90	595.37
1192	15.44	-566.00	-554.97
1194	16.05	-547.57	155.71
1196	16.46	-543.67	-487.85
1200	13.86	-525.79	-225.60
1203	16.70	-513.70	-361.35
1205	16.01	-496.21	499.34
1206	14.12	-504.58	-1372.32
1208	16.31	-481.07	-1377.87
1209	14.64	-464.84	-209.79
1211	14.08	-463.86	-514.78
1213	15.43	-455.41	371.15
1216	15.64	-457.46	-420.54
1217	12.40	-456.49	-265.06
1218	17.06	-457.08	-360.50
1223	13.33	-425.52	74.45
1225	15.40	-420.55	434.57
1226	12.62	-420.84	-115.82
1227	16.25	-426.02	-1018.02
1232	13.89	-401.58	-564.35
1233	16.72	-396.91	28.68
1235	17.58	-388.66	758.72
1236	18.07	-387.22	-50.59
1237	12.25	-383.52	377.92
1240	14.22	-376.59	-231.88
1241	15.55	-373.97	-2.04
1242	13.08	-363.82	866.76
1244	16.17	-370.50	-1042.33
1247	14.89	-362.38	-288.37
1253	16.05	-351.60	-1073.69
1254	16.53	-346.63	-330.46
1257	13.85	-340.81	-325.68
1258	15.11	-337.24	-1137.54
1260	16.71	-331.67	-229.09
1261	13.25	-325.73	769.18
1262	15.85	-314.98	-54.53
1263	17.61	-311.52	415.97
1265	16.12	-310.10	413.56
1266	15.53	-312.20	-1111.14
1274	12.65	-302.37	-859.17
1275	14.95	-299.53	-517.35
1280	12.10	-283.66	197.38
1282	14.81	-271.41	5.90
1286	15.38	-262.28	533.44
1288	13.33	-261.08	-339.19
1290	12.46	-261.36	-828.05
1292	14.28	-253.49	176.26
1293	17.27	-283.66	197.38
1294	10.90	-254.91	-652.63
1296	17.26	-261.08	-339.19
1297	12.54	-261.36	-828.05
1300	16.85	-245.67	-1382.96
1304	7.70	-238.68	-1041.57
1305	15.10	-233.33	-279.26
1306	14.58	-232.89	-139.44
1307	15.97	-232.82	-1039.78
1309	14.40	-229.19	-346.50
1311	11.24	-228.47	-116.05
1313	10.41	-222.43	439.63
1314	16.21	-223.36	-1303.47
1316	15.73	-216.11	-338.13
1317	15.04	-212.03	562.68
1320	10.03	-208.35	-672.58
1321	14.93	-206.44	7.49
1322	16.32	-204.04	-694.82
1323	16.48	-204.01	-159.33
1326	16.62	-201.13	-696.62
1327	16.05	-195.07	-1163.23
1329	15.36	-191.97	17.05
1331	13.21	-189.32	482.15
1333	11.94	-186.93	-843.87
1334	11.64	-177.57	3.82
1335	16.18	-175.00	-738.73
1340	12.18	-164.63	614.19
1345	16.40	-155.73	-1289.75
1347	13.10	-155.12	-996.04
1349	13.03	-137.86	-1159.72
1351	13.27	-143.37	506.06
1352	16.49	-138.29	157.94
1353	11.11	-151.65	659.80
1354	11.35	-127.19	739.04
1358	12.72	-113.81	-785.10
1359	15.23	-110.87	-768.28
1362	15.87	-95.92	605.64
1366	12.22	-89.66	-122.95
1367	10.30	-88.80	-609.73
1368	16.27	-86.98	-309.57
1371	15.23	-83.25	-850.04
1373	15.37	-79.95	-504.06
1376	9.61	-78.00	-1416.39
1379	12.32	-74.22	829.69
