# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Oct 21 22:45:58 CEST 2019
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: SDSS <i>ugriz</i>
# Attention: photometry includes extinction of Av=0.2, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  umag    gmag    rmag    imag    zmag
0.01471 0.00000 9.87506 1.0517861843 2.4831452370    1.051  0.371  3.7746  4.140    1 3.843 5.704 4.376 3.884 3.757 3.718
0.01471 0.00000 9.87506 1.0615960360 2.4849541187    1.061  0.411  3.7734  4.098    1 3.742 5.618 4.279 3.783 3.654 3.614
0.01471 0.00000 9.87506 1.0700304508 2.4864790440    1.069  0.447  3.7704  4.054    2 3.652 5.562 4.201 3.693 3.560 3.516
0.01471 0.00000 9.87506 1.0776551962 2.4878337383    1.077  0.478  3.7654  4.006    2 3.575 5.547 4.145 3.616 3.475 3.425
0.01471 0.00000 9.87506 1.0845797062 2.4890453815    1.084  0.499  3.7567  3.952    2 3.522 5.610 4.132 3.565 3.410 3.349
0.01471 0.00000 9.87506 1.0888934135 2.4897911549    1.088  0.503  3.7470  3.912    2 3.513 5.743 4.170 3.561 3.391 3.318
0.01471 0.00000 9.87506 1.0915292501 2.4902434349    1.091  0.497  3.7377  3.881    2 3.527 5.898 4.230 3.583 3.400 3.315
0.01471 0.00000 9.87506 1.0933815241 2.4905598164    1.093  0.489  3.7290  3.855    2 3.547 6.049 4.298 3.614 3.417 3.321
0.01471 0.00000 9.87506 1.0951405764 2.4908590317    1.094  0.486  3.7199  3.823    2 3.554 6.204 4.360 3.636 3.424 3.315
0.01471 0.00000 9.87506 1.0972537994 2.4912171364    1.096  0.499  3.7101  3.771    2 3.522 6.341 4.390 3.623 3.394 3.272
