# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Sun Dec  8 07:25:57 CET 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Attention: photometry includes extinction of Av=0.1, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.01471 0.00000 9.84510 0.8500000238 2.4350347519    0.849 -0.306  3.7272  4.534    1  0.000  0.536     0.00     0.00 -1 -3.64e-14      0.00 7.432e-01 2.434e-01 2.352e-03 6.430e-04 5.846e-03 -1.000 1.332e-02 5.535 7.198 6.633 5.791 5.275 4.870 4.322 3.893 3.828
0.01471 0.00000 9.84510 0.8685012460 2.4405252934    0.868 -0.250  3.7341  4.515    1  0.000  0.536     0.00     0.00 -1 -4.17e-14      0.00 7.450e-01 2.418e-01 2.338e-03 6.392e-04 5.812e-03 -1.000 1.321e-02 5.396 6.942 6.442 5.627 5.130 4.737 4.210 3.799 3.738
0.01471 0.00000 9.84510 0.8905233145 2.4467201233    0.890 -0.184  3.7420  4.492    1  0.000  0.536     0.00     0.00 -1 -4.93e-14      0.00 7.472e-01 2.397e-01 2.321e-03 6.346e-04 5.771e-03 -1.000 1.310e-02 5.231 6.642 6.217 5.435 4.961 4.581 4.078 3.687 3.629
0.01471 0.00000 9.84510 0.8999999762 2.4492788315    0.899 -0.156  3.7453  4.481    1  0.000  0.536     0.00     0.00 -1  -5.3e-14      0.00 7.481e-01 2.388e-01 2.313e-03 6.326e-04 5.753e-03 -1.000 1.307e-02 5.159 6.512 6.122 5.354 4.890 4.515 4.022 3.638 3.582
0.01471 0.00000 9.84510 0.9041506648 2.4503800869    0.903 -0.143  3.7467  4.476    1  0.000  0.536     0.00     0.00 -1 -5.48e-14      0.00 7.486e-01 2.383e-01 2.309e-03 6.315e-04 5.743e-03 -1.000 1.305e-02 5.128 6.456 6.081 5.318 4.859 4.486 3.997 3.616 3.560
0.01471 0.00000 9.84510 0.9177020192 2.4538958073    0.917 -0.102  3.7510  4.458    1  0.000  0.536     0.00     0.00 -1 -6.11e-14      0.00 7.503e-01 2.367e-01 2.296e-03 6.279e-04 5.711e-03 -1.000 1.300e-02 5.024 6.280 5.948 5.203 4.756 4.390 3.913 3.542 3.488
0.01471 0.00000 9.84510 0.9301835895 2.4570300579    0.929 -0.064  3.7548  4.441    1  0.000  0.536     0.00     0.00 -1 -6.75e-14      0.00 7.519e-01 2.352e-01 2.283e-03 6.245e-04 5.681e-03 -1.000 1.292e-02 4.929 6.125 5.828 5.099 4.662 4.301 3.834 3.472 3.420
0.01471 0.00000 9.84510 0.9422552586 2.4599709511    0.941 -0.027  3.7583  4.424    1  0.000  0.536     0.00     0.00 -1 -7.45e-14      0.00 7.535e-01 2.337e-01 2.271e-03 6.212e-04 5.651e-03 -1.000 1.283e-02 4.836 5.978 5.713 4.998 4.570 4.215 3.758 3.403 3.353
0.01471 0.00000 9.84510 0.9499999881 2.4618122578    0.949 -0.002  3.7605  4.412    1  0.000  0.536     0.00     0.00 -1 -7.95e-14      0.00 7.544e-01 2.327e-01 2.263e-03 6.191e-04 5.632e-03 -1.000 1.281e-02 4.776 5.885 5.638 4.933 4.511 4.159 3.707 3.358 3.309
0.01471 0.00000 9.84510 0.9640749097 2.4650719166    0.963  0.042  3.7641  4.389    1  0.000  0.536     0.00     0.00 -1 -8.97e-14      0.00 7.568e-01 2.305e-01 2.244e-03 6.140e-04 5.586e-03 -1.000 1.273e-02 4.666 5.724 5.506 4.816 4.403 4.057 3.615 3.273 3.226
