angDist,_RAJ2000,_DEJ2000,FTS,WEBDA,RAJ2000,DEJ2000,u'mag,g'mag,r'mag,i'mag,z'mag,Mm,Comm,PKM,_RAJ2000,_DEJ2000,PKM,RAJ2000,DEJ2000,pmRA,pmDE,MProb,Vmag,B-V,ICode
0.369083,12.669,85.223889,44,2138,00 50 40.56,+85 13 26,15.726,14.558,14.127,13.957,13.916,0,,PKM,12.6679381,85.2239409,5411,12.6679381,85.223941,27.08,11.79,0,14.272,0.642,
0.690053,12.076917,85.246111,45,1006,00 48 18.46,+85 14 46,16.588,14.816,14.15,13.945,13.815,92,,PKM,12.0766205,85.2463011,5035,12.0766205,85.246301,-4.99,-1.11,92,14.887,0.965,
0.419952,12.969,85.188611,46,,00 51 52.56,+85 11 19,17.192,14.948,14.158,13.857,13.729,98,,PKM,12.9677899,85.1886685,5747,12.9677899,85.188669,-5.39,-0.25,98,14.44,1.067,
1.134730,12.9045,85.228611,47,,00 51 37.08,+85 13 43,17.113,14.948,14.176,13.898,13.73,98,,PKM,12.903567,85.2289165,5700,12.903567,85.228916,-5.33,-0.66,98,14.447,1.047,
0.442865,12.059042,85.246667,48,1005,00 48 14.17,+85 14 48,16.447,14.773,14.203,14.005,13.884,1,,PKM,12.0586611,85.2467859,5033,12.0586611,85.246786,-6.93,0.02,1,14.956,0.706,
0.343325,12.192625,85.290833,49,4650,00 48 46.23,+85 17 27,16.189,14.739,14.233,14.066,13.985,0,,PKM,12.1933652,85.2909065,5958,12.1933652,85.290907,0.0,0.0,0,15.111,0.675,D
0.862381,12.192625,85.290833,49,4650,00 48 46.23,+85 17 27,16.189,14.739,14.233,14.066,13.985,0,,PKM,12.1954514,85.2907735,5957,12.1954514,85.290774,0.0,0.0,0,15.203,0.77,D
1.135346,11.450958,85.184722,50,,00 45 48.23,+85 11 05,16.593,14.882,14.235,13.985,13.868,66,,PKM,11.4486817,85.1849729,5897,11.4486817,85.184973,-6.36,0.27,66,15.426,0.676,D
1.600678,11.384042,85.204722,51,,00 45 32.17,+85 12 17,,14.738,14.266,14.218,14.142,0,,PKM,11.3856586,85.2051456,5898,11.3856586,85.205146,-3.65,1.11,0,16.556,0.783,D
0.548685,11.657583,85.207778,52,1112,00 46 37.82,+85 12 28,16.182,14.789,14.313,14.164,14.122,98,,PKM,11.6569518,85.207921,5101,11.6569518,85.207921,-5.46,-0.54,98,14.472,0.682,
0.566779,11.799333,85.225278,53,1102,00 47 11.84,+85 13 31,15.961,14.73,14.326,14.196,14.153,98,,PKM,11.7987256,85.2254271,5078,11.7987256,85.225427,-5.4,-0.48,98,14.465,0.601,
0.254579,11.937542,85.239167,54,1085,00 47 45.01,+85 14 21,17.367,15.143,14.347,14.07,13.899,95,,PKM,11.9369265,85.2392159,5055,11.9369265,85.239216,-5.75,-0.94,95,14.648,1.039,
0.376811,12.798375,85.238889,55,2134,00 51 11.61,+85 14 20,16.316,14.868,14.353,14.196,14.057,0,,PKM,12.7975618,85.238969,5849,12.7975618,85.238969,-5.38,-2.89,0,14.551,0.754,
