# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Sun Dec  8 23:56:03 CET 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: SDSS <i>ugriz</i>
# Attention: photometry includes extinction of Av=0.2, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.01471 0.00000 9.84510 1.0968858004 2.4911549091    1.095  0.505  3.7679  3.997    2  0.000  0.535     0.00     0.00 -1  -3.3e-13      0.00 7.535e-01 2.335e-01 2.291e-03 6.275e-04 5.713e-03 -1.000 1.298e-02 3.509 5.448 4.067 3.549 3.412 3.365
0.01471 0.00000 9.84510 1.1000000238 2.4916803837    1.098  0.516  3.7654  3.976    2  0.000  0.535     0.00     0.00 -1 -3.45e-13      0.00 7.499e-01 2.369e-01 2.321e-03 6.355e-04 5.785e-03 -1.000 1.314e-02 3.480 5.452 4.050 3.521 3.380 3.330
0.01471 0.00000 9.84510 1.1063786745 2.4927456379    1.105  0.532  3.7560  3.925    2  0.000  0.536     0.00     0.00 -1 -3.75e-13      0.00 7.402e-01 2.463e-01 2.398e-03 6.563e-04 5.969e-03 -1.000 1.356e-02 3.440 5.537 4.053 3.484 3.328 3.266
0.01471 0.00000 9.84510 1.1102845669 2.4933910370    1.109  0.529  3.7453  3.887    2  0.000  0.536     0.00     0.00 -1 -3.87e-13      0.00 7.326e-01 2.535e-01 2.455e-03 6.717e-04 6.106e-03 -1.000 1.388e-02 3.447 5.702 4.112 3.497 3.324 3.249
0.01471 0.00000 9.84510 1.1126388311 2.4937775135    1.111  0.518  3.7353  3.859    2  0.000  0.536     0.00     0.00 -1 -3.88e-13      0.00 7.279e-01 2.581e-01 2.490e-03 6.811e-04 6.190e-03 -1.000 1.407e-02 3.475 5.879 4.191 3.534 3.346 3.259
0.01471 0.00000 9.84510 1.1142822504 2.4940459728    1.112  0.509  3.7269  3.835    2  0.000  0.537     0.00     0.00 -1  -3.9e-13      0.00 7.249e-01 2.609e-01 2.512e-03 6.870e-04 6.241e-03 -1.000 1.420e-02 3.497 6.034 4.261 3.568 3.367 3.268
0.01471 0.00000 9.84510 1.1158354282 2.4942991734    1.114  0.507  3.7188  3.805    2  0.000  0.537     0.00     0.00 -1 -3.99e-13      0.00 7.224e-01 2.633e-01 2.529e-03 6.916e-04 6.282e-03 -1.000 1.429e-02 3.502 6.171 4.315 3.586 3.372 3.262
0.01471 0.00000 9.84510 1.1176941395 2.4946010113    1.116  0.519  3.7103  3.760    2  0.000  0.537     0.00     0.00 -1 -4.29e-13      0.00 7.197e-01 2.659e-01 2.546e-03 6.961e-04 6.322e-03 -1.000 1.437e-02 3.473 6.287 4.339 3.574 3.345 3.223
0.01471 0.00000 9.84510 1.1195052862 2.4948940277    1.118  0.547  3.7037  3.707    2  0.000  0.537     0.00     0.00 -1 -4.84e-13      0.00 7.171e-01 2.684e-01 2.560e-03 6.998e-04 6.353e-03 -1.000 1.443e-02 3.404 6.333 4.316 3.520 3.279 3.147
0.01471 0.00000 9.84510 1.1200213432 2.4949772358    1.118  0.557  3.7022  3.690    2  0.000  0.537     0.00     0.00 -1 -5.05e-13      0.00 7.164e-01 2.692e-01 2.563e-03 7.007e-04 6.362e-03 -1.000 1.445e-02 3.377 6.332 4.300 3.497 3.253 3.119
